,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntTotal,TotalPurchaseTimes,TotalCmp,Age,AgeSegment,IncomeSegment,WineSegment,FruitSegment,MeatSegment,FishSegment,SweetSegment,GoldSegment
338,1965,Graduation,Together,83003.0,0,0,03-03-2013,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,1674,21,2,59,Seniors (50 and above),High Income,Level 3 (Frequent),Level 3 (Frequent),PRIORITY Level,Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
340,1988,Graduation,Single,68655.0,0,0,10-08-2012,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,1538,20,0,36,Middle Age (30-49),High Income,Level 2 (Middle),Level 2 (Middle),PRIORITY Level,Level 3 (Frequent),PRIORITY Level,Level 2 (Middle)
341,1986,Graduation,Divorced,41411.0,0,0,07-12-2013,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,139,7,0,38,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
342,1969,PhD,Married,55212.0,0,1,23-11-2012,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,1182,17,2,55,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
343,1950,PhD,Together,59292.0,0,1,13-06-2013,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,507,16,0,74,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
344,1973,Basic,Together,27190.0,1,0,15-08-2013,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,18,3,2,51,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
345,1952,Graduation,Divorced,82623.0,0,0,10-11-2013,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,940,15,0,72,Seniors (50 and above),High Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),PRIORITY Level,PRIORITY Level,PRIORITY Level
346,1965,Graduation,Married,44300.0,1,1,23-06-2013,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,42,4,0,59,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
347,1970,Graduation,Divorced,84835.0,0,0,16-06-2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,1190,14,1,54,Seniors (50 and above),High Income,Level 2 (Middle),PRIORITY Level,Level 3 (Frequent),Level 3 (Frequent),PRIORITY Level,PRIORITY Level
348,1971,Graduation,Widow,30372.0,1,1,25-12-2012,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,44,5,0,53,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
349,1976,Master,Married,33181.0,1,0,03-01-2014,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,16,3,1,48,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
350,1957,Graduation,Married,71113.0,0,1,17-12-2013,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,835,22,0,67,Seniors (50 and above),High Income,Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
351,1986,Graduation,Married,71952.0,1,0,10-01-2013,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1443,20,2,38,Middle Age (30-49),High Income,Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent),Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent)
352,1966,PhD,Single,69759.0,0,0,28-10-2013,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,1029,15,1,58,Seniors (50 and above),High Income,Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
353,1974,Graduation,Married,72099.0,0,0,27-10-2012,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,1188,17,0,50,Seniors (50 and above),High Income,Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent),Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle)
354,1976,PhD,Single,60000.0,0,1,22-12-2012,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,1277,19,0,48,Middle Age (30-49),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
355,1978,Graduation,Single,38643.0,1,1,29-11-2013,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,49,5,0,46,Middle Age (30-49),Medium Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
356,1955,Graduation,Married,50737.0,0,1,11-05-2013,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,99,6,1,69,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
357,1969,PhD,Married,68462.0,0,0,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,1670,14,0,55,Seniors (50 and above),High Income,Level 3 (Frequent),Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent),PRIORITY Level,Level 2 (Middle)
358,1943,Master,Married,65073.0,0,0,20-08-2013,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,900,13,0,81,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),Level 1 (Occasional),Level 1 (Occasional)
359,1948,PhD,Together,46681.0,0,2,08-10-2013,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,425,14,0,76,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
360,1957,Graduation,Married,78618.0,0,0,28-09-2012,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,2153,21,1,67,Seniors (50 and above),High Income,Level 3 (Frequent),PRIORITY Level,PRIORITY Level,PRIORITY Level,PRIORITY Level,Level 3 (Frequent)
361,1969,PhD,Widow,62187.0,0,1,22-03-2014,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,636,18,0,55,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
362,1978,Graduation,Married,28442.0,2,0,24-02-2014,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,57,7,0,46,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
364,1967,Graduation,Married,51479.0,1,1,28-12-2012,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,494,15,0,57,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
365,1969,Graduation,Single,54803.0,0,1,21-08-2012,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,693,17,0,55,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),PRIORITY Level
366,1960,Graduation,Married,79530.0,0,0,17-05-2013,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,1348,25,0,64,Seniors (50 and above),High Income,Level 2 (Middle),Level 1 (Occasional),PRIORITY Level,PRIORITY Level,Level 3 (Frequent),Level 2 (Middle)
367,1976,Graduation,Divorced,31615.0,1,0,16-03-2013,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,51,5,0,48,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
368,1962,Graduation,Together,72025.0,0,0,17-11-2012,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,1932,15,0,62,Seniors (50 and above),High Income,Level 3 (Frequent),Level 2 (Middle),PRIORITY Level,PRIORITY Level,PRIORITY Level,PRIORITY Level
369,1975,PhD,Single,52614.0,0,1,01-12-2012,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,990,14,0,49,Middle Age (30-49),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
370,1984,2n Cycle,Married,35684.0,1,0,22-04-2014,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,30,4,0,40,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
371,1975,Graduation,Married,48178.0,1,1,28-10-2012,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,254,10,0,49,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
372,1970,Master,Single,29548.0,1,0,29-08-2013,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,29,4,1,54,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
373,1966,Graduation,Single,63810.0,0,1,11-11-2012,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,1371,19,1,58,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
374,1972,PhD,Single,38578.0,1,1,22-06-2013,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,73,6,1,52,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
375,1975,Master,Single,46098.0,1,1,18-08-2012,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,120,7,0,49,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
376,1970,Graduation,Single,22585.0,0,0,18-03-2013,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,81,4,2,54,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
377,1989,Graduation,Single,30279.0,1,0,30-12-2012,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,37,4,0,35,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
378,1961,PhD,Together,66426.0,0,1,02-10-2013,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,1377,18,0,63,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),PRIORITY Level
379,1969,Graduation,Single,30822.0,1,0,14-06-2013,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,51,4,0,55,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
380,1969,PhD,Married,33581.0,2,0,08-01-2013,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,17,3,0,55,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
381,1985,Graduation,Married,19986.0,1,0,14-11-2013,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,22,3,0,39,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
382,1954,Graduation,Widow,27421.0,0,0,12-12-2012,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,324,11,0,70,Seniors (50 and above),Low Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle)
384,1981,Master,Single,36143.0,1,0,30-03-2014,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,19,3,0,43,Middle Age (30-49),Medium Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
385,1971,Graduation,Single,10245.0,1,0,15-05-2013,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,41,5,0,53,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
386,1968,Master,Together,43795.0,0,1,16-10-2013,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,492,14,2,56,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
387,1960,Graduation,Together,63381.0,0,1,05-10-2012,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1005,22,0,64,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),PRIORITY Level
388,1949,Graduation,Together,38823.0,0,1,30-08-2012,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,114,6,0,75,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
389,1968,PhD,Divorced,83664.0,1,1,08-05-2013,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,1173,16,0,56,Seniors (50 and above),High Income,Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
390,1979,Graduation,Together,90300.0,0,0,03-01-2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,1738,19,1,45,Middle Age (30-49),High Income,Level 3 (Frequent),PRIORITY Level,PRIORITY Level,Level 2 (Middle),PRIORITY Level,Level 3 (Frequent)
391,1979,Master,Together,62499.0,1,0,09-12-2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,222,10,0,45,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
392,1993,Graduation,Single,74293.0,0,0,04-05-2014,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,1127,15,0,31,Middle Age (30-49),High Income,Level 2 (Middle),PRIORITY Level,Level 3 (Frequent),Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent)
393,1946,PhD,Married,51012.0,0,0,18-04-2013,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,209,9,0,78,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
394,1968,Master,Married,70777.0,0,1,25-02-2014,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,787,20,0,56,Seniors (50 and above),High Income,Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 3 (Frequent)
395,1991,PhD,Together,68682.0,0,0,06-10-2013,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,1598,23,0,33,Middle Age (30-49),High Income,Level 3 (Frequent),Level 1 (Occasional),Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle)
396,1971,Graduation,Married,43824.0,1,1,15-09-2012,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,186,8,0,53,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
397,1984,Graduation,Together,15345.0,1,0,31-08-2012,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,47,4,1,40,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
398,1987,Graduation,Single,23442.0,1,0,24-12-2012,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,27,4,0,37,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
399,1980,2n Cycle,Together,14515.0,1,0,09-11-2012,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,96,7,1,44,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle)
400,1956,2n Cycle,Divorced,31395.0,1,1,23-03-2013,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,64,6,0,68,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
401,1965,Graduation,Together,75276.0,0,0,27-09-2012,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,1040,22,0,59,Seniors (50 and above),High Income,Level 3 (Frequent),PRIORITY Level,Level 2 (Middle),PRIORITY Level,Level 3 (Frequent),Level 2 (Middle)
402,1974,Graduation,Single,42373.0,1,1,15-08-2013,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,163,8,0,50,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
403,1960,Graduation,Together,30507.0,0,0,11-03-2013,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,343,10,0,64,Seniors (50 and above),Low Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent)
404,1955,PhD,Single,55521.0,1,2,22-10-2013,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,1,446,15,2,69,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
405,1965,Graduation,Married,48006.0,1,1,09-06-2014,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,41,4,0,59,Seniors (50 and above),Medium Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
406,1972,PhD,Single,27213.0,1,0,30-08-2012,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,70,6,1,52,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
407,1971,PhD,Divorced,65808.0,1,1,30-05-2014,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,272,11,0,53,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
408,1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,46,5,0,50,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
409,1963,Graduation,Married,50437.0,0,2,17-10-2012,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,490,16,0,61,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
410,1982,2n Cycle,Single,23616.0,1,0,17-11-2012,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,79,6,1,42,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle)
411,1976,Graduation,Married,53858.0,0,1,09-11-2012,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,915,13,0,48,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 3 (Frequent),PRIORITY Level,Level 2 (Middle)
412,1955,PhD,Married,66465.0,0,1,30-03-2013,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,1485,32,1,69,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
413,1987,Graduation,Single,46923.0,1,0,22-08-2012,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,369,13,0,37,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 3 (Frequent),Level 3 (Frequent),Level 1 (Occasional)
414,1962,Graduation,Together,75072.0,0,1,23-01-2013,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,1073,17,0,62,Seniors (50 and above),High Income,Level 3 (Frequent),Level 3 (Frequent),Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 3 (Frequent)
415,1943,PhD,Married,75865.0,0,0,31-03-2014,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,1242,18,0,81,Seniors (50 and above),High Income,Level 2 (Middle),Level 1 (Occasional),PRIORITY Level,PRIORITY Level,Level 1 (Occasional),Level 2 (Middle)
416,1975,2n Cycle,Together,19789.0,1,0,20-11-2013,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,78,6,1,49,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
417,1994,Graduation,Together,80134.0,0,0,14-02-2014,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,1378,20,4,30,Middle Age (30-49),High Income,Level 3 (Frequent),Level 2 (Middle),Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle)
418,1981,Graduation,Single,91065.0,0,0,22-02-2013,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,1474,25,3,43,Middle Age (30-49),High Income,Level 3 (Frequent),PRIORITY Level,Level 2 (Middle),PRIORITY Level,PRIORITY Level,Level 3 (Frequent)
419,1971,Master,Married,49505.0,1,1,05-03-2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,751,20,0,53,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle)
420,1973,PhD,Married,37401.0,1,0,06-05-2014,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,5,0,51,Seniors (50 and above),Medium Income,Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
422,1982,Master,Together,18492.0,1,0,05-06-2014,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,10,3,0,42,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
423,1974,Master,Married,82584.0,0,0,04-06-2013,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,1435,15,3,50,Seniors (50 and above),High Income,Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),PRIORITY Level,Level 3 (Frequent)
424,1941,PhD,Married,93027.0,0,0,13-04-2013,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,2119,22,1,83,Seniors (50 and above),High Income,PRIORITY Level,Level 3 (Frequent),PRIORITY Level,Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle)
425,1953,Graduation,Married,48686.0,1,2,04-12-2013,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,20,3,0,71,Seniors (50 and above),Medium Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
426,1986,Graduation,Married,92910.0,0,0,24-04-2014,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,1795,26,3,38,Middle Age (30-49),High Income,Level 3 (Frequent),PRIORITY Level,PRIORITY Level,PRIORITY Level,PRIORITY Level,Level 2 (Middle)
427,1989,Graduation,Married,75433.0,1,0,05-04-2014,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,1188,17,2,35,Middle Age (30-49),High Income,Level 3 (Frequent),Level 1 (Occasional),Level 3 (Frequent),Level 1 (Occasional),Level 2 (Middle),Level 3 (Frequent)
428,1989,2n Cycle,Together,10404.0,1,0,04-05-2014,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,43,5,0,35,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
429,1968,Graduation,Married,61314.0,0,1,25-04-2013,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,1008,22,0,56,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 3 (Frequent),PRIORITY Level,PRIORITY Level
430,1961,PhD,Single,84865.0,0,0,09-05-2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,1688,15,5,63,Seniors (50 and above),High Income,PRIORITY Level,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
